Title,Published_date,Views,Likes,Comments,CategoryId,VideoId,Channel
INSANE DIY Coke Bottle Life Hacks,2019-06-18,1907652,27535,1582,24,CNSVhfA9r60,Beast Reacts
They Made A PLASMA LAUNCHER!,2019-06-16,4836192,104262,3857,24,q0Lg9SCwmNU,Beast Reacts
Amazing Simple Electric Train,2019-06-14,5315263,68683,2197,24,RUuAeqS85E8,Beast Reacts
How Gallium Transforms Aluminium,2019-06-11,5753710,109622,3230,24,UXXCLV5Bad8,Beast Reacts
10 CRAZY DRILL LIFE HACKS,2019-06-08,2615262,45461,2034,24,QZvfKIvYPCM,Beast Reacts
WATERMELON VS 2,000 RUBBER BANDS,2019-06-06,2085720,99482,2377,24,DASj398vGMM,Beast Reacts
Will 20,000 Gumballs flush?,2019-05-22,1698374,23650,1441,24,JYXLaKKir_4,Beast Reacts
I Put a Tooth In Coca Cola For 24 Hours,2019-05-18,864997,16510,994,24,5KjV2nii6Tc,Beast Reacts
Amazing science experiments with magnets,2019-05-15,1559985,22834,1062,24,lTtWIRh2i7w,Beast Reacts
LIQUID NITROGEN vs BATTERY SMASHED,2019-05-11,1082804,20542,1148,24,ZKkIxZO23lk,Beast Reacts
Will 20,000 GUMBALLS BLEND?,2019-05-04,1379471,24373,1106,24,s3OTJgDlJec,Beast Reacts
Amazing life hacks tested,2019-03-28,2092163,20638,1034,26,r-OLGfvEmGk,Beast Reacts
WORLD'S MOST SATISFYING KINETIC SAND!,2019-03-26,1872811,25878,2003,26,eWKSrbWo6uw,Beast Reacts
DIY Homemade Bottle Launcher,2019-03-24,1828595,22585,1044,26,SvkLcOjum7g,Beast Reacts
3 Amazing DIY Magic Illusions!,2019-03-22,739920,12030,621,26,UdQ1zILODec,Beast Reacts
Amazing Magnet Experiments,2019-03-18,1098829,13816,1173,26,1X80GHDLL7w,Beast Reacts
MICROWAVING ALUMINIUM FOIL,2019-03-16,577775,11654,1121,26,gxhH0n8vzeI,Beast Reacts
